pipeline,question_id,question,accepted_pages,retrieved_chunk_ids,retrieved_pages,raw_scores,rank_first_accepted_page,hit,reciprocal_rank,latency_ms
bm25,q14,How much did domestic air passenger traffic grow in Q3:2024-25?,[49],"[""rbi_mpr_2025_04_p066_c00"", ""rbi_mpr_2025_04_p048_c00"", ""rbi_mpr_2025_04_p067_c00"", ""rbi_mpr_2025_04_p012_c04""]","[66, 48, 67, 12]","[null, null, null, null]",,False,0.0,1.4486000291071832
bm25,q15,What was India's investment rate in 2023-24?,[52],"[""rbi_mpr_2025_04_p016_c00"", ""rbi_mpr_2025_04_p012_c04"", ""rbi_mpr_2025_04_p047_c00"", ""rbi_mpr_2025_04_p075_c00""]","[16, 12, 47, 75]","[null, null, null, null]",,False,0.0,0.9498000144958496
bm25,q16,What were the Centre's gross market borrowings in 2024-25?,[57],"[""rbi_mpr_2025_04_p057_c01"", ""rbi_mpr_2025_04_p057_c00"", ""rbi_mpr_2025_04_p042_c01"", ""rbi_mpr_2025_04_p057_c03""]","[57, 57, 42, 57]","[null, null, null, null]",1,True,1.0,1.2531999964267015
bm25,q17,What was foodgrains production per the second advance estimate for 2024-25?,[61],"[""rbi_mpr_2025_04_p061_c00"", ""rbi_mpr_2025_04_p032_c00"", ""rbi_mpr_2025_04_p061_c01"", ""rbi_mpr_2025_04_p035_c00""]","[61, 32, 61, 35]","[null, null, null, null]",1,True,1.0,1.5257999766618013
bm25,q18,"What was rice procurement as of March 31, 2025?",[62],"[""rbi_mpr_2025_04_p062_c00"", ""rbi_mpr_2025_04_p033_c00"", ""rbi_mpr_2025_04_p035_c01"", ""rbi_mpr_2025_04_p016_c00""]","[62, 33, 35, 16]","[null, null, null, null]",1,True,1.0,2.115999988745898
bm25,q19,How did industrial sector growth move in 2024-25 per the second advance estimate?,[63],"[""rbi_mpr_2025_04_p061_c00"", ""rbi_mpr_2025_04_p063_c00"", ""rbi_mpr_2025_04_p013_c01"", ""rbi_mpr_2025_04_p011_c04""]","[61, 63, 13, 11]","[null, null, null, null]",2,True,0.5,2.23869999172166
bm25,q20,What were the major drivers of liquidity during H2:2024-25?,[70],"[""rbi_mpr_2025_04_p070_c00"", ""rbi_mpr_2025_04_p077_c00"", ""rbi_mpr_2025_04_p071_c03"", ""rbi_mpr_2025_04_p071_c04""]","[70, 77, 71, 71]","[null, null, null, null]",1,True,1.0,1.4392000157386065
bm25,q21,What was the average daily net absorption under the LAF in Q3:2024-25?,[71],"[""rbi_mpr_2025_04_p069_c05"", ""rbi_mpr_2025_04_p069_c04"", ""rbi_mpr_2025_04_p071_c01"", ""rbi_mpr_2025_04_p071_c00""]","[69, 69, 71, 71]","[null, null, null, null]",3,True,0.3333333333333333,1.6091999714262784
bm25,q22,"What was Reserve Money (RM) growth as of March 28, 2025?",[73],"[""rbi_mpr_2025_04_p073_c00"", ""rbi_mpr_2025_04_p087_c01"", ""rbi_mpr_2025_04_p070_c02"", ""rbi_mpr_2025_04_p087_c00""]","[73, 87, 70, 87]","[null, null, null, null]",1,True,1.0,2.153499983251095
bm25,q23,What range did the 10-year G-sec yield move in during H2:2024-25?,[78],"[""rbi_mpr_2025_04_p078_c00"", ""rbi_mpr_2025_04_p113_c01"", ""rbi_mpr_2025_04_p113_c02"", ""rbi_mpr_2025_04_p079_c00""]","[78, 113, 113, 79]","[null, null, null, null]",1,True,1.0,1.4460000093095005
bm25,q24,What was the weighted average maturity of outstanding G-secs at end-March 2025?,[80],"[""rbi_mpr_2025_04_p080_c00"", ""rbi_mpr_2025_04_p093_c01"", ""rbi_mpr_2025_04_p079_c00"", ""rbi_mpr_2025_04_p057_c00""]","[80, 93, 79, 57]","[null, null, null, null]",1,True,1.0,1.4216999989002943
bm25,q25,How much did credit to MSMEs grow in February 2025?,[89],"[""rbi_mpr_2025_04_p089_c00"", ""rbi_mpr_2025_04_p090_c00"", ""rbi_mpr_2025_04_p089_c02"", ""rbi_mpr_2025_04_p090_c01""]","[89, 90, 89, 90]","[null, null, null, null]",1,True,1.0,1.1568000190891325
bm25,q26,By how much did the 1-year median MCLR rise during the May 2022 to January 2025 tightening cycle?,[93],"[""rbi_mpr_2025_04_p093_c00"", ""rbi_mpr_2025_04_p094_c02"", ""rbi_mpr_2025_04_p108_c02"", ""rbi_mpr_2025_04_p095_c02""]","[93, 94, 108, 95]","[null, null, null, null]",1,True,1.0,2.9628999764099717
bm25,q27,How did Euro area and UK GDP growth compare in Q4:2024?,[100],"[""rbi_mpr_2025_04_p100_c03"", ""rbi_mpr_2025_04_p100_c00"", ""rbi_mpr_2025_04_p102_c03"", ""rbi_mpr_2025_04_p106_c02""]","[100, 100, 102, 106]","[null, null, null, null]",1,True,1.0,1.4461000100709498
bm25,q28,How did Brazil's GDP growth move in Q4:2024?,[101],"[""rbi_mpr_2025_04_p048_c02"", ""rbi_mpr_2025_04_p100_c02"", ""rbi_mpr_2025_04_p020_c00"", ""rbi_mpr_2025_04_p101_c00""]","[48, 100, 20, 101]","[null, null, null, null]",4,True,0.25,0.8844999829307199
bm25,q29,What milestone did gold prices cross in Q1:2025?,[105],"[""rbi_mpr_2025_04_p105_c00"", ""rbi_mpr_2025_04_p030_c02"", ""rbi_mpr_2025_04_p046_c01"", ""rbi_mpr_2025_04_p039_c01""]","[105, 30, 46, 39]","[null, null, null, null]",1,True,1.0,0.9896999690681696
bm25,q30,How did Russia's CPI inflation move between September 2024 and February 2025?,[106],"[""rbi_mpr_2025_04_p026_c01"", ""rbi_mpr_2025_04_p105_c02"", ""rbi_mpr_2025_04_p106_c00"", ""rbi_mpr_2025_04_p105_c01""]","[26, 105, 106, 105]","[null, null, null, null]",3,True,0.3333333333333333,1.7272999975830317
bm25_reranked,q01,What was India's real GDP growth for 2024-25 per the second advance estimate?,[11],"[""rbi_mpr_2025_04_p011_c04"", ""rbi_mpr_2025_04_p013_c01"", ""rbi_mpr_2025_04_p012_c05"", ""rbi_mpr_2025_04_p020_c00""]","[11, 13, 12, 20]","[7.407985687255859, 7.195098400115967, 4.438573837280273, 4.3146514892578125]",1,True,1.0,845.3339000116102
bm25_reranked,q02,By how much was the Cash Reserve Ratio (CRR) reduced in December 2024?,[12],"[""rbi_mpr_2025_04_p069_c02"", ""rbi_mpr_2025_04_p073_c00"", ""rbi_mpr_2025_04_p012_c00"", ""rbi_mpr_2025_04_p012_c01""]","[69, 73, 12, 12]","[6.031465530395508, 5.4958930015563965, 5.334164142608643, 5.173666000366211]",3,True,0.3333333333333333,685.8474999899045
bm25_reranked,q03,What did the MPC decide at its February 2025 meeting?,[13],"[""rbi_mpr_2025_04_p012_c00"", ""rbi_mpr_2025_04_p012_c03"", ""rbi_mpr_2025_04_p013_c03"", ""rbi_mpr_2025_04_p069_c04""]","[12, 12, 13, 69]","[4.1888933181762695, 3.3720240592956543, 3.111870765686035, 2.077803611755371]",3,True,0.3333333333333333,664.5456000114791
bm25_reranked,q04,What model is used in Box I.1 to study inflation expectations of economic agents?,[16],"[""rbi_mpr_2025_04_p016_c00"", ""rbi_mpr_2025_04_p016_c01"", ""rbi_mpr_2025_04_p005_c00"", ""rbi_mpr_2025_04_p015_c02""]","[16, 16, 5, 15]","[7.56110143661499, 5.310633659362793, 3.182614326477051, 2.135528326034546]",1,True,1.0,615.4725000378676
bm25_reranked,q05,What did professional forecasters project for CPI inflation in Q4:2024-25 as per the March 2025 survey?,[17],"[""rbi_mpr_2025_04_p017_c01"", ""rbi_mpr_2025_04_p017_c00"", ""rbi_mpr_2025_04_p019_c02"", ""rbi_mpr_2025_04_p046_c00""]","[17, 17, 19, 46]","[7.8063249588012695, 6.170856475830078, 4.194816589355469, 3.3125009536743164]",1,True,1.0,627.0006999839097
bm25_reranked,q06,What is the CPI inflation projection for 2025-26?,[18],"[""rbi_mpr_2025_04_p013_c02"", ""rbi_mpr_2025_04_p012_c05"", ""rbi_mpr_2025_04_p012_c03"", ""rbi_mpr_2025_04_p013_c01""]","[13, 12, 12, 13]","[9.009799003601074, 7.461174964904785, 7.45068359375, 7.179372787475586]",,False,0.0,602.8179000131786
bm25_reranked,q07,What is the real GDP growth projection for 2025-26?,[20],"[""rbi_mpr_2025_04_p013_c01"", ""rbi_mpr_2025_04_p020_c00"", ""rbi_mpr_2025_04_p012_c05"", ""rbi_mpr_2025_04_p012_c04""]","[13, 20, 12, 12]","[9.356037139892578, 8.09813404083252, 7.546909332275391, 6.8238115310668945]",2,True,0.5,729.5140999485739
bm25_reranked,q08,Where did headline CPI inflation stand relative to the target by February 2025?,[25],"[""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p025_c02"", ""rbi_mpr_2025_04_p025_c01"", ""rbi_mpr_2025_04_p026_c00""]","[25, 25, 25, 26]","[6.018728256225586, 5.374889373779297, 4.860240459442139, 4.719167709350586]",1,True,1.0,616.5279000415467
bm25_reranked,q09,How much did headline inflation surge from August to September 2024?,[26],"[""rbi_mpr_2025_04_p026_c00"", ""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p105_c03"", ""rbi_mpr_2025_04_p025_c01""]","[26, 25, 105, 25]","[7.742739677429199, 6.672487258911133, 6.19986629486084, 5.972634792327881]",1,True,1.0,989.7858999902382
bm25_reranked,q10,What was food inflation in February 2025?,[31],"[""rbi_mpr_2025_04_p025_c01"", ""rbi_mpr_2025_04_p038_c00"", ""rbi_mpr_2025_04_p030_c01"", ""rbi_mpr_2025_04_p026_c01""]","[25, 38, 30, 26]","[7.61752986907959, 7.340142250061035, 7.27596378326416, 6.064052581787109]",,False,0.0,688.343999965582
bm25_reranked,q11,How did cereals inflation move from October 2024 to February 2025?,[32],"[""rbi_mpr_2025_04_p025_c01"", ""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p012_c00"", ""rbi_mpr_2025_04_p023_c01""]","[25, 25, 12, 23]","[5.5880537033081055, 4.77730655670166, 4.320079326629639, 4.275071144104004]",,False,0.0,729.7577999997884
bm25_reranked,q12,What mainly drove the pick-up in core inflation between August 2024 and February 2025?,[40],"[""rbi_mpr_2025_04_p040_c00"", ""rbi_mpr_2025_04_p041_c00"", ""rbi_mpr_2025_04_p039_c01"", ""rbi_mpr_2025_04_p025_c03""]","[40, 41, 39, 25]","[8.15629768371582, 8.086000442504883, 7.952387809753418, 6.42597770690918]",1,True,1.0,604.0259999572299
bm25_reranked,q13,What was PFCE growth in Q3:2024-25 and its contribution to GDP growth?,[48],"[""rbi_mpr_2025_04_p049_c02"", ""rbi_mpr_2025_04_p048_c02"", ""rbi_mpr_2025_04_p012_c04"", ""rbi_mpr_2025_04_p011_c04""]","[49, 48, 12, 11]","[6.045489311218262, 5.120542049407959, 3.985140800476074, 3.67240834236145]",2,True,0.5,712.1443999931216
bm25_reranked,q14,How much did domestic air passenger traffic grow in Q3:2024-25?,[49],"[""rbi_mpr_2025_04_p048_c00"", ""rbi_mpr_2025_04_p066_c00"", ""rbi_mpr_2025_04_p066_c01"", ""rbi_mpr_2025_04_p067_c00""]","[48, 66, 66, 67]","[8.140196800231934, 7.125303745269775, 5.077771186828613, 4.337129592895508]",,False,0.0,909.8338999901898
bm25_reranked,q15,What was India's investment rate in 2023-24?,[52],"[""rbi_mpr_2025_04_p052_c00"", ""rbi_mpr_2025_04_p051_c02"", ""rbi_mpr_2025_04_p047_c00"", ""rbi_mpr_2025_04_p012_c04""]","[52, 51, 47, 12]","[4.889862060546875, 2.854921579360962, 0.9839233756065369, 0.2835673987865448]",1,True,1.0,867.2594000236131
bm25_reranked,q16,What were the Centre's gross market borrowings in 2024-25?,[57],"[""rbi_mpr_2025_04_p057_c00"", ""rbi_mpr_2025_04_p057_c01"", ""rbi_mpr_2025_04_p057_c03"", ""rbi_mpr_2025_04_p076_c00""]","[57, 57, 57, 76]","[9.051163673400879, 6.726776123046875, 6.460901737213135, 1.4532554149627686]",1,True,1.0,770.9672000491992
bm25_reranked,q17,What was foodgrains production per the second advance estimate for 2024-25?,[61],"[""rbi_mpr_2025_04_p061_c00"", ""rbi_mpr_2025_04_p061_c01"", ""rbi_mpr_2025_04_p013_c01"", ""rbi_mpr_2025_04_p036_c01""]","[61, 61, 13, 36]","[8.52232551574707, 5.114699840545654, 4.005492687225342, 3.8887698650360107]",1,True,1.0,602.9925000038929
bm25_reranked,q18,"What was rice procurement as of March 31, 2025?",[62],"[""rbi_mpr_2025_04_p062_c00"", ""rbi_mpr_2025_04_p033_c00"", ""rbi_mpr_2025_04_p032_c00"", ""rbi_mpr_2025_04_p035_c01""]","[62, 33, 32, 35]","[7.814657688140869, 3.7418928146362305, -0.2194613814353943, -0.7236810922622681]",1,True,1.0,836.2613000208512
bm25_reranked,q19,How did industrial sector growth move in 2024-25 per the second advance estimate?,[63],"[""rbi_mpr_2025_04_p013_c01"", ""rbi_mpr_2025_04_p011_c04"", ""rbi_mpr_2025_04_p063_c00"", ""rbi_mpr_2025_04_p061_c00""]","[13, 11, 63, 61]","[5.889705657958984, 5.521368980407715, 5.39211893081665, 3.231717109680176]",3,True,0.3333333333333333,710.2690999745391
bm25_reranked,q20,What were the major drivers of liquidity during H2:2024-25?,[70],"[""rbi_mpr_2025_04_p070_c00"", ""rbi_mpr_2025_04_p075_c00"", ""rbi_mpr_2025_04_p077_c01"", ""rbi_mpr_2025_04_p077_c00""]","[70, 75, 77, 77]","[8.518045425415039, 5.003409385681152, 4.870766639709473, 4.464363098144531]",1,True,1.0,825.3546999767423
bm25_reranked,q21,What was the average daily net absorption under the LAF in Q3:2024-25?,[71],"[""rbi_mpr_2025_04_p071_c00"", ""rbi_mpr_2025_04_p069_c05"", ""rbi_mpr_2025_04_p071_c01"", ""rbi_mpr_2025_04_p069_c04""]","[71, 69, 71, 69]","[6.9259724617004395, 6.000217914581299, 5.2402544021606445, 4.8242268562316895]",1,True,1.0,790.8824000041932
bm25_reranked,q22,"What was Reserve Money (RM) growth as of March 28, 2025?",[73],"[""rbi_mpr_2025_04_p073_c00"", ""rbi_mpr_2025_04_p060_c00"", ""rbi_mpr_2025_04_p073_c01"", ""rbi_mpr_2025_04_p019_c02""]","[73, 60, 73, 19]","[7.560876846313477, 4.895124435424805, 3.5199899673461914, 2.578303813934326]",1,True,1.0,1018.0895000230521
bm25_reranked,q23,What range did the 10-year G-sec yield move in during H2:2024-25?,[78],"[""rbi_mpr_2025_04_p078_c00"", ""rbi_mpr_2025_04_p079_c00"", ""rbi_mpr_2025_04_p080_c01"", ""rbi_mpr_2025_04_p080_c00""]","[78, 79, 80, 80]","[9.637723922729492, 5.440991401672363, 5.421534061431885, 5.156606674194336]",1,True,1.0,977.1407999796793
bm25_reranked,q24,What was the weighted average maturity of outstanding G-secs at end-March 2025?,[80],"[""rbi_mpr_2025_04_p080_c00"", ""rbi_mpr_2025_04_p080_c01"", ""rbi_mpr_2025_04_p093_c01"", ""rbi_mpr_2025_04_p079_c00""]","[80, 80, 93, 79]","[8.833587646484375, 1.8610079288482666, 1.2157461643218994, 1.065258264541626]",1,True,1.0,726.9182000309229
bm25_reranked,q25,How much did credit to MSMEs grow in February 2025?,[89],"[""rbi_mpr_2025_04_p089_c00"", ""rbi_mpr_2025_04_p088_c01"", ""rbi_mpr_2025_04_p092_c01"", ""rbi_mpr_2025_04_p088_c00""]","[89, 88, 92, 88]","[8.533510208129883, 5.435397624969482, 4.302279472351074, 1.8256752490997314]",1,True,1.0,758.4175999509171
bm25_reranked,q26,By how much did the 1-year median MCLR rise during the May 2022 to January 2025 tightening cycle?,[93],"[""rbi_mpr_2025_04_p093_c00"", ""rbi_mpr_2025_04_p094_c00"", ""rbi_mpr_2025_04_p094_c03"", ""rbi_mpr_2025_04_p044_c01""]","[93, 94, 94, 44]","[5.677552223205566, 0.9230092167854309, 0.4516008198261261, -0.08841059356927872]",1,True,1.0,718.5334000387229
bm25_reranked,q27,How did Euro area and UK GDP growth compare in Q4:2024?,[100],"[""rbi_mpr_2025_04_p100_c00"", ""rbi_mpr_2025_04_p100_c03"", ""rbi_mpr_2025_04_p020_c00"", ""rbi_mpr_2025_04_p112_c03""]","[100, 100, 20, 112]","[7.2485671043396, 7.0083770751953125, 3.885507583618164, 3.1662070751190186]",1,True,1.0,1226.5958999632858
bm25_reranked,q28,How did Brazil's GDP growth move in Q4:2024?,[101],"[""rbi_mpr_2025_04_p101_c00"", ""rbi_mpr_2025_04_p100_c00"", ""rbi_mpr_2025_04_p047_c02"", ""rbi_mpr_2025_04_p012_c04""]","[101, 100, 47, 12]","[7.753942489624023, 3.5615956783294678, 2.9988036155700684, 2.9603917598724365]",1,True,1.0,820.2706999727525
bm25_reranked,q29,What milestone did gold prices cross in Q1:2025?,[105],"[""rbi_mpr_2025_04_p105_c00"", ""rbi_mpr_2025_04_p030_c01"", ""rbi_mpr_2025_04_p103_c02"", ""rbi_mpr_2025_04_p103_c01""]","[105, 30, 103, 103]","[4.693974494934082, 1.504217505455017, 0.7492097020149231, 0.5991526246070862]",1,True,1.0,834.6356999827549
bm25_reranked,q30,How did Russia's CPI inflation move between September 2024 and February 2025?,[106],"[""rbi_mpr_2025_04_p106_c00"", ""rbi_mpr_2025_04_p105_c03"", ""rbi_mpr_2025_04_p039_c01"", ""rbi_mpr_2025_04_p030_c00""]","[106, 105, 39, 30]","[7.523594856262207, 6.486532211303711, 5.48021125793457, 4.804625511169434]",1,True,1.0,1058.8012000080198
hybrid_rrf,q01,What was India's real GDP growth for 2024-25 per the second advance estimate?,[11],"[""rbi_mpr_2025_04_p011_c04"", ""rbi_mpr_2025_04_p012_c04"", ""rbi_mpr_2025_04_p013_c00"", ""rbi_mpr_2025_04_p100_c02""]","[11, 12, 13, 100]","[0.032266458495966696, 0.032018442622950824, 0.03057889822595705, 0.030017921146953404]",1,True,1.0,36.00449999794364
hybrid_rrf,q02,By how much was the Cash Reserve Ratio (CRR) reduced in December 2024?,[12],"[""rbi_mpr_2025_04_p012_c00"", ""rbi_mpr_2025_04_p069_c02"", ""rbi_mpr_2025_04_p073_c00"", ""rbi_mpr_2025_04_p012_c01""]","[12, 69, 73, 12]","[0.03252247488101534, 0.032266458495966696, 0.03128054740957967, 0.02976190476190476]",1,True,1.0,27.28969999589026
hybrid_rrf,q03,What did the MPC decide at its February 2025 meeting?,[13],"[""rbi_mpr_2025_04_p012_c00"", ""rbi_mpr_2025_04_p013_c02"", ""rbi_mpr_2025_04_p012_c03"", ""rbi_mpr_2025_04_p013_c03""]","[12, 13, 12, 13]","[0.03278688524590164, 0.03200204813108039, 0.03200204813108039, 0.029910714285714284]",2,True,0.5,22.581700002774596
hybrid_rrf,q04,What model is used in Box I.1 to study inflation expectations of economic agents?,[16],"[""rbi_mpr_2025_04_p016_c00"", ""rbi_mpr_2025_04_p028_c03"", ""rbi_mpr_2025_04_p016_c01"", ""rbi_mpr_2025_04_p016_c03""]","[16, 28, 16, 16]","[0.032018442622950824, 0.03149801587301587, 0.03128054740957967, 0.030834914611005692]",1,True,1.0,25.103399995714426
hybrid_rrf,q05,What did professional forecasters project for CPI inflation in Q4:2024-25 as per the March 2025 survey?,[17],"[""rbi_mpr_2025_04_p017_c01"", ""rbi_mpr_2025_04_p017_c00"", ""rbi_mpr_2025_04_p046_c00"", ""rbi_mpr_2025_04_p105_c01""]","[17, 17, 46, 105]","[0.03252247488101534, 0.0315136476426799, 0.030090497737556562, 0.028484848484848488]",1,True,1.0,26.305200008209795
hybrid_rrf,q06,What is the CPI inflation projection for 2025-26?,[18],"[""rbi_mpr_2025_04_p012_c05"", ""rbi_mpr_2025_04_p012_c02"", ""rbi_mpr_2025_04_p028_c03"", ""rbi_mpr_2025_04_p013_c02""]","[12, 12, 28, 13]","[0.031754032258064516, 0.03076923076923077, 0.029418126757516764, 0.01639344262295082]",,False,0.0,26.89849998569116
hybrid_rrf,q07,What is the real GDP growth projection for 2025-26?,[20],"[""rbi_mpr_2025_04_p020_c00"", ""rbi_mpr_2025_04_p021_c03"", ""rbi_mpr_2025_04_p011_c04"", ""rbi_mpr_2025_04_p012_c04""]","[20, 21, 11, 12]","[0.032018442622950824, 0.03200204813108039, 0.030309988518943745, 0.030309988518943745]",1,True,1.0,23.531699960585684
hybrid_rrf,q08,Where did headline CPI inflation stand relative to the target by February 2025?,[25],"[""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p105_c02"", ""rbi_mpr_2025_04_p025_c02"", ""rbi_mpr_2025_04_p105_c01""]","[25, 105, 25, 105]","[0.03278688524590164, 0.03149801587301587, 0.03128054740957967, 0.030621785881252923]",1,True,1.0,23.508000012952834
hybrid_rrf,q09,How much did headline inflation surge from August to September 2024?,[26],"[""rbi_mpr_2025_04_p026_c00"", ""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p105_c01"", ""rbi_mpr_2025_04_p105_c02""]","[26, 25, 105, 105]","[0.03278688524590164, 0.03200204813108039, 0.031009615384615385, 0.030776515151515152]",1,True,1.0,25.393999996595085
hybrid_rrf,q10,What was food inflation in February 2025?,[31],"[""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p025_c01"", ""rbi_mpr_2025_04_p030_c01"", ""rbi_mpr_2025_04_p038_c00""]","[25, 25, 30, 38]","[0.03128054740957967, 0.030798389007344232, 0.029910714285714284, 0.02919863597612958]",,False,0.0,27.019199973437935
hybrid_rrf,q11,How did cereals inflation move from October 2024 to February 2025?,[32],"[""rbi_mpr_2025_04_p025_c01"", ""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p025_c03"", ""rbi_mpr_2025_04_p041_c00""]","[25, 25, 25, 41]","[0.03200204813108039, 0.029850746268656716, 0.02904040404040404, 0.01639344262295082]",,False,0.0,23.574599996209145
hybrid_rrf,q12,What mainly drove the pick-up in core inflation between August 2024 and February 2025?,[40],"[""rbi_mpr_2025_04_p040_c00"", ""rbi_mpr_2025_04_p041_c00"", ""rbi_mpr_2025_04_p105_c01"", ""rbi_mpr_2025_04_p039_c01""]","[40, 41, 105, 39]","[0.03252247488101534, 0.032266458495966696, 0.030776515151515152, 0.030536130536130537]",1,True,1.0,23.451799992471933
hybrid_rrf,q13,What was PFCE growth in Q3:2024-25 and its contribution to GDP growth?,[48],"[""rbi_mpr_2025_04_p100_c02"", ""rbi_mpr_2025_04_p101_c00"", ""rbi_mpr_2025_04_p012_c04"", ""rbi_mpr_2025_04_p049_c02""]","[100, 101, 12, 49]","[0.030017921146953404, 0.028850145288501453, 0.028370221327967807, 0.01639344262295082]",,False,0.0,28.167099982965738
hybrid_rrf,q14,How much did domestic air passenger traffic grow in Q3:2024-25?,[49],"[""rbi_mpr_2025_04_p066_c00"", ""rbi_mpr_2025_04_p048_c00"", ""rbi_mpr_2025_04_p067_c00"", ""rbi_mpr_2025_04_p066_c01""]","[66, 48, 67, 66]","[0.03278688524590164, 0.03200204813108039, 0.03200204813108039, 0.029877369007803793]",,False,0.0,28.37450004881248
hybrid_rrf,q15,What was India's investment rate in 2023-24?,[52],"[""rbi_mpr_2025_04_p087_c02"", ""rbi_mpr_2025_04_p047_c00"", ""rbi_mpr_2025_04_p016_c00"", ""rbi_mpr_2025_04_p059_c00""]","[87, 47, 16, 59]","[0.030834914611005692, 0.030798389007344232, 0.01639344262295082, 0.01639344262295082]",,False,0.0,24.13999999407679
hybrid_rrf,q16,What were the Centre's gross market borrowings in 2024-25?,[57],"[""rbi_mpr_2025_04_p057_c00"", ""rbi_mpr_2025_04_p057_c03"", ""rbi_mpr_2025_04_p057_c01"", ""rbi_mpr_2025_04_p042_c01""]","[57, 57, 57, 42]","[0.03225806451612903, 0.032018442622950824, 0.031099324975891997, 0.015873015873015872]",1,True,1.0,24.459499982185662
hybrid_rrf,q17,What was foodgrains production per the second advance estimate for 2024-25?,[61],"[""rbi_mpr_2025_04_p061_c00"", ""rbi_mpr_2025_04_p061_c01"", ""rbi_mpr_2025_04_p032_c00"", ""rbi_mpr_2025_04_p033_c02""]","[61, 61, 32, 33]","[0.03278688524590164, 0.03200204813108039, 0.0315136476426799, 0.029418126757516764]",1,True,1.0,25.834099971689284
hybrid_rrf,q18,"What was rice procurement as of March 31, 2025?",[62],"[""rbi_mpr_2025_04_p062_c00"", ""rbi_mpr_2025_04_p033_c00"", ""rbi_mpr_2025_04_p035_c01"", ""rbi_mpr_2025_04_p032_c00""]","[62, 33, 35, 32]","[0.03252247488101534, 0.03252247488101534, 0.03149801587301587, 0.030536130536130537]",1,True,1.0,25.85999999428168
hybrid_rrf,q19,How did industrial sector growth move in 2024-25 per the second advance estimate?,[63],"[""rbi_mpr_2025_04_p063_c00"", ""rbi_mpr_2025_04_p012_c04"", ""rbi_mpr_2025_04_p043_c01"", ""rbi_mpr_2025_04_p063_c01""]","[63, 12, 43, 63]","[0.031054405392392875, 0.030017921146953404, 0.029857397504456328, 0.02821939586645469]",1,True,1.0,25.021599954925478
hybrid_rrf,q20,What were the major drivers of liquidity during H2:2024-25?,[70],"[""rbi_mpr_2025_04_p070_c00"", ""rbi_mpr_2025_04_p075_c01"", ""rbi_mpr_2025_04_p075_c00"", ""rbi_mpr_2025_04_p069_c00""]","[70, 75, 75, 69]","[0.03252247488101534, 0.029850746268656716, 0.02976190476190476, 0.01639344262295082]",1,True,1.0,24.210600007791072
hybrid_rrf,q21,What was the average daily net absorption under the LAF in Q3:2024-25?,[71],"[""rbi_mpr_2025_04_p069_c05"", ""rbi_mpr_2025_04_p071_c00"", ""rbi_mpr_2025_04_p070_c03"", ""rbi_mpr_2025_04_p069_c04""]","[69, 71, 70, 69]","[0.03252247488101534, 0.03125, 0.01639344262295082, 0.016129032258064516]",2,True,0.5,26.377899979706854
hybrid_rrf,q22,"What was Reserve Money (RM) growth as of March 28, 2025?",[73],"[""rbi_mpr_2025_04_p073_c00"", ""rbi_mpr_2025_04_p060_c00"", ""rbi_mpr_2025_04_p073_c01"", ""rbi_mpr_2025_04_p087_c01""]","[73, 60, 73, 87]","[0.03278688524590164, 0.03125763125763126, 0.03055037313432836, 0.016129032258064516]",1,True,1.0,25.033699988853186
hybrid_rrf,q23,What range did the 10-year G-sec yield move in during H2:2024-25?,[78],"[""rbi_mpr_2025_04_p078_c00"", ""rbi_mpr_2025_04_p113_c01"", ""rbi_mpr_2025_04_p079_c00"", ""rbi_mpr_2025_04_p113_c02""]","[78, 113, 79, 113]","[0.03278688524590164, 0.031754032258064516, 0.03149801587301587, 0.030798389007344232]",1,True,1.0,24.564700026530772
hybrid_rrf,q24,What was the weighted average maturity of outstanding G-secs at end-March 2025?,[80],"[""rbi_mpr_2025_04_p080_c00"", ""rbi_mpr_2025_04_p080_c01"", ""rbi_mpr_2025_04_p080_c02"", ""rbi_mpr_2025_04_p093_c01""]","[80, 80, 80, 93]","[0.03252247488101534, 0.02797339593114241, 0.01639344262295082, 0.016129032258064516]",1,True,1.0,27.198499999940395
hybrid_rrf,q25,How much did credit to MSMEs grow in February 2025?,[89],"[""rbi_mpr_2025_04_p089_c00"", ""rbi_mpr_2025_04_p089_c02"", ""rbi_mpr_2025_04_p088_c01"", ""rbi_mpr_2025_04_p090_c01""]","[89, 89, 88, 90]","[0.03278688524590164, 0.03200204813108039, 0.03125763125763126, 0.030330882352941176]",1,True,1.0,23.79450004082173
hybrid_rrf,q26,By how much did the 1-year median MCLR rise during the May 2022 to January 2025 tightening cycle?,[93],"[""rbi_mpr_2025_04_p039_c02"", ""rbi_mpr_2025_04_p044_c01"", ""rbi_mpr_2025_04_p093_c00"", ""rbi_mpr_2025_04_p099_c04""]","[39, 44, 93, 99]","[0.02976190476190476, 0.029437229437229435, 0.01639344262295082, 0.01639344262295082]",3,True,0.3333333333333333,28.958500013686717
